name,Facies,bed_count,total_thickness,mean_thickness,min_thickness,max_thickness,mean_grainsize,min_grainsize,max_grainsize,thickness_list,section_total_thickness
Colleen12,10,20,8.115800000000007,0.4057900000000004,0.06400000000000006,1.4727000000000032,3.7259955626363057,2.2,4.13,"[1.2005, 0.5123, 0.2401, 0.2881, 0.2881, 0.3041, 0.1281, 0.1761, 0.2081, 0.6243, 0.064, 0.5923, 0.2561, 0.144, 0.5443, 0.1281, 0.2081, 0.3202, 0.4162, 1.4727]",88.80999999999999
Colleen12,11,2,0.25619999999999266,0.12809999999999633,0.12809999999999633,0.12809999999999633,3.308125,2.7,3.74,"[0.1281, 0.1281]",88.80999999999999
Colleen12,12,5,1.088499999999982,0.2176999999999964,0.17609999999999104,0.25610000000000355,3.315206002331002,2.16,3.99,"[0.2561, 0.2561, 0.1921, 0.1761, 0.2081]",88.80999999999999
Colleen12,13,19,4.770200000000038,0.2510631578947389,0.06400000000000006,1.520700000000005,2.76225634476327,1.08,3.4,"[0.1761, 0.096, 0.128, 0.064, 0.096, 0.1441, 0.1121, 1.5207, 0.1601, 0.1281, 0.1281, 0.112, 0.2081, 0.1441, 0.6083, 0.3201, 0.2241, 0.1121, 0.2881]",88.80999999999999
Colleen12,14,5,21.338200000000008,4.267640000000002,0.06400000000000006,20.8579,2.801857142857143,2.38,2.89,"[20.8579, 0.0801, 0.064, 0.2241, 0.1121]",88.80999999999999
Colleen12,15,10,1.1204000000000036,0.11204000000000036,0.016000000000005343,0.2400999999999982,2.5440666666666667,2.2,2.89,"[0.032, 0.0961, 0.064, 0.064, 0.016, 0.2401, 0.128, 0.1601, 0.112, 0.2081]",88.80999999999999
Colleen12,16,1,1.9369,1.9369,1.9369,1.9369,4.35,4.35,4.35,[1.9369],88.80999999999999
Colleen14,1,2,0.3841999999999999,0.19209999999999994,0.1600999999999999,0.22409999999999997,3.84,3.82,3.86,"[0.2241, 0.1601]",114.64
Colleen14,2,1,0.3522000000000016,0.3522000000000016,0.3522000000000016,0.3522000000000016,3.74,3.74,3.74,[0.3522],114.64
Colleen14,3,1,2.3053000000000026,2.3053000000000026,2.3053000000000026,2.3053000000000026,4.064097222222222,3.76,4.15,[2.3053],114.64
Colleen14,4,10,16.185000000000016,1.6185000000000016,0.11200000000000188,6.067300000000003,3.7652587353950735,3.62,3.86,"[0.8005, 0.7044, 0.112, 0.1441, 4.0183, 0.8485, 6.0673, 0.4002, 0.7364, 2.3533]",114.64
Colleen14,5,25,17.530099999999962,0.7012039999999985,0.1280000000000001,1.985200000000006,4.088889152516163,1.79,5.04,"[0.1922, 0.3201, 0.3042, 0.5283, 1.9852, 1.4408, 0.7524, 1.5208, 0.5603, 0.7524, 1.713, 0.8325, 1.0726, 0.4642, 0.3522, 0.2402, 0.128, 0.3042, 0.2402, 1.1046, 0.5924, 0.1601, 0.2882, 0.4163, 1.2647]",114.64
Colleen14,6,28,23.7254,0.8473357142857143,0.09609999999999985,3.714100000000002,3.7140749681661593,2.75,4.62,"[3.682, 0.3522, 0.4163, 1.0406, 0.4643, 0.1281, 0.1441, 0.8805, 1.6649, 0.1761, 1.3607, 0.6564, 0.1761, 0.7684, 0.8485, 0.2882, 0.4482, 0.4322, 0.0961, 1.2647, 1.3928, 0.2402, 0.1761, 0.2402, 3.7141, 0.2561, 1.6809, 0.7364]",114.64
Colleen14,7,1,1.040600000000012,1.040600000000012,1.040600000000012,1.040600000000012,2.858,2.85,2.87,[1.0406],114.64
Colleen14,8,4,1.8248999999999853,0.45622499999999633,0.12809999999998922,0.8323999999999927,3.7304315196998123,2.48,4.17,"[0.2081, 0.1281, 0.6563, 0.8324]",114.64
Colleen14,10,17,7.460299999999993,0.43884117647058785,0.09609999999999275,1.2967000000000013,3.7419806454688262,2.07,4.53,"[0.3362, 0.1921, 1.2967, 0.1921, 0.3842, 0.5123, 0.2082, 0.1601, 0.2562, 1.0566, 0.2241, 0.2081, 0.4962, 0.9446, 0.5443, 0.3522, 0.0961]",114.64
Colleen14,11,15,4.050300000000007,0.2700200000000005,0.06409999999999627,0.6884000000000015,3.3232022679873503,2.18,3.92,"[0.0641, 0.1601, 0.2081, 0.1601, 0.2401, 0.1921, 0.5123, 0.1281, 0.2241, 0.4162, 0.6884, 0.2241, 0.3042, 0.3202, 0.2081]",114.64
Colleen14,12,8,1.4568000000000083,0.18210000000000104,0.1280000000000001,0.25619999999999976,3.4126041666666667,2.89,3.56,"[0.1601, 0.1601, 0.128, 0.1921, 0.2562, 0.1921, 0.1761, 0.1921]",114.64
Colleen14,13,19,20.25119999999999,1.065852631578947,0.06400000000000006,3.9863,3.129756383004627,2.7,3.54,"[0.2881, 1.4247, 1.1847, 0.4803, 0.3522, 1.1846, 3.9863, 0.4802, 1.6489, 1.713, 0.5924, 2.1292, 1.4087, 2.0812, 0.9285, 0.096, 0.064, 0.1121, 0.0961]",114.64
Colleen14,14,33,11.12600000000003,0.33715151515151603,0.015999999999991132,1.88900000000001,2.683897701985146,1.71,3.15,"[1.0406, 0.5763, 0.1601, 0.08, 0.6083, 0.2402, 0.2081, 0.1281, 0.1281, 0.1281, 0.2401, 0.1121, 0.2081, 0.0641, 0.1121, 0.4642, 0.1761, 0.6884, 0.9125, 0.5443, 0.1441, 0.048, 0.08, 0.016, 0.064, 0.048, 0.016, 0.1601, 0.016, 0.3361, 0.1441, 1.889, 1.3447]",114.64
Colleen14,15,22,3.361699999999996,0.15280454545454528,0.031999999999996476,0.5123000000000002,2.5903164058164063,2.07,3.05,"[0.5123, 0.2081, 0.3362, 0.1921, 0.2402, 0.2081, 0.064, 0.064, 0.08, 0.032, 0.2081, 0.1121, 0.1121, 0.048, 0.032, 0.1601, 0.08, 0.1441, 0.064, 0.064, 0.1121, 0.2881]",114.64
